Truth,Decoded
Quanto costa il biglietto,tu lo
Purtroppo non lo so pero potresti chiedere all autista,pero e lo lo
Va bene grazie lo stesso,tu lo
Prego,un lo
Perfetto vorrei comprarne due.,un lo
Certo ecco a lei vuole un sacchetto,tu lo
Si grazie e arrivederci,tu a lo
Le auguro una buona giornata,lo lo lo
Buongiorno io sono Mario,lo lo
Buonasera io sono Mario,lo lo
Piacere Luigi come stai,lo lo
Tutto bene tu,tu lo
Salve quanto costa quell articolo,e ora lo tutto
E in offerta costa dieci euro,tu e lo lo
Tutto bene grazie,un lo lo
Prendiamo un caffe al bar,tu bene
"Certo volentieri, io lo prendero macchiato",certo e so certo
A che ora arriva il pullman,tu lo bene
Dovrebbe arrivare tra qualche minuto,e lo
Quanto costa il biglietto,tu lo
Purtroppo non lo so pero potresti chiedere all autista,certo e lo lo
Va bene grazie lo stesso,tu a lo lo
Prego,tu lo
Perfetto vorrei comprarne due.,pero lo lo rneto
Certo ecco a lei vuole un sacchetto,tu a lo
Si grazie e arrivederci,a e a tutto
Le auguro una buona giornata,a e lo e lo
Buongiorno io sono Mario,un lo
Buonasera io sono Mario,e e e a e lo
Piacere Luigi come stai,e e lo e lo
Tutto bene tu,tu lo
Salve quanto costa quell articolo,certo ora lo tutto
