Truth,Decoded
Quanto costa il biglietto,tu a certo
Purtroppo non lo so pero potresti chiedere all autista,certo lo lo ora io lo
Va bene grazie lo stesso,tu a lo lo
Prego,tutto lo
Perfetto vorrei comprarne due.,e e e lo so
Certo ecco a lei vuole un sacchetto,e e a lo lo
Si grazie e arrivederci,e e a lo lo
Le auguro una buona giornata,tu e lo sono
Buongiorno io sono Mario,tu a lo sono
Buonasera io sono Mario,tu a sono
Piacere Luigi come stai,tu a lo sono
Tutto bene tu,tutto lo
Salve quanto costa quell articolo,certo ora ora e lo
E in offerta costa dieci euro,a a lo lo
Tutto bene grazie,lo lo lo
Prendiamo un caffe al bar,tu bene
"Certo volentieri, io lo prendero macchiato",certo lo lo costa e lo
A che ora arriva il pullman,a lo lo
Dovrebbe arrivare tra qualche minuto,tu a lo lo
Quanto costa il biglietto,tu bene
Purtroppo non lo so pero potresti chiedere all autista,certo lo e lo certo
Va bene grazie lo stesso,a a lo lo
Prego,tutto
Perfetto vorrei comprarne due.,certo lo ora io lo
Certo ecco a lei vuole un sacchetto,a a lo lo
Si grazie e arrivederci,certo e costa certo
Le auguro una buona giornata,certo lo lo e lo
Buongiorno io sono Mario,un lo
Buonasera io sono Mario,e e e ora tutto
Piacere Luigi come stai,certo e lo e lo
Tutto bene tu,tu bene
Salve quanto costa quell articolo,certo lo a costa certo
