Truth,Decoded
Quanto costa il biglietto,tu e lo
Purtroppo non lo so pero potresti chiedere all autista,pero e lo
Va bene grazie lo stesso,tu e lo
Prego,tu e lo
Perfetto vorrei comprarne due.,tu e lo
Certo ecco a lei vuole un sacchetto,un lo
Si grazie e arrivederci,un lo
Le auguro una buona giornata,un lo
Buongiorno io sono Mario,tu e lo
Buonasera io sono Mario,tu e lo
Piacere Luigi come stai,tu e lo
Tutto bene tu,tu e lo
Salve quanto costa quell articolo,tu lo
E in offerta costa dieci euro,tu e lo
Tutto bene grazie,tu e lo
Prendiamo un caffe al bar,tu e lo
"Certo volentieri, io lo prendero macchiato",pero e lo
A che ora arriva il pullman,tu e lo
Dovrebbe arrivare tra qualche minuto,un lo
Quanto costa il biglietto,tu e lo
Purtroppo non lo so pero potresti chiedere all autista,pero e lo
Va bene grazie lo stesso,tu e lo
Prego,tu e lo
Perfetto vorrei comprarne due.,pero e lo
Certo ecco a lei vuole un sacchetto,tu e lo
Si grazie e arrivederci,un lo
Le auguro una buona giornata,tu lo
Buongiorno io sono Mario,tu e lo
Buonasera io sono Mario,pero lo
Piacere Luigi come stai,pero lo
Tutto bene tu,tu e lo
Salve quanto costa quell articolo,due e lo
