Truth,Decoded
Quanto costa il biglietto,tu e lo lo
Purtroppo non lo so pero potresti chiedere all autista,pero e lo lo
Va bene grazie lo stesso,tu a lo
Prego,tu lo
Perfetto vorrei comprarne due.,tu e lo lo
Certo ecco a lei vuole un sacchetto,tu e lo lo
Si grazie e arrivederci,e e lo lo
Le auguro una buona giornata,tu lo lo
Buongiorno io sono Mario,tu lo
Buonasera io sono Mario,tu lo
Piacere Luigi come stai,un lo lo
Tutto bene tu,tu lo
Salve quanto costa quell articolo,pero ora lo certo
E in offerta costa dieci euro,tu a lo
Tutto bene grazie,un lo lo
Prendiamo un caffe al bar,tu lo
"Certo volentieri, io lo prendero macchiato",certo ora lo e lo
A che ora arriva il pullman,tu lo
Dovrebbe arrivare tra qualche minuto,tu a lo
Quanto costa il biglietto,tu lo
Purtroppo non lo so pero potresti chiedere all autista,certo lo lo e lo
Va bene grazie lo stesso,tu a lo lo
Prego,tu lo
Perfetto vorrei comprarne due.,pero lo lo certo
Certo ecco a lei vuole un sacchetto,tu e lo
Si grazie e arrivederci,pero ora lo e lo
Le auguro una buona giornata,e lo lo lo
Buongiorno io sono Mario,due lo
Buonasera io sono Mario,pero e lo e lo
Piacere Luigi come stai,pero e lo lo
Tutto bene tu,tu lo
Salve quanto costa quell articolo,pero e lo lo
