Truth,Decoded
Quanto costa il biglietto,a io
Purtroppo non lo so pero potresti chiedere all autista,pero e so certo
Va bene grazie lo stesso,tu lo
Prego,io lo
Perfetto vorrei comprarne due.,tu e io lo
Certo ecco a lei vuole un sacchetto,tu a io io
Si grazie e arrivederci,tu e io lo
Le auguro una buona giornata,un io lo
Buongiorno io sono Mario,un io lo
Buonasera io sono Mario,tu a lo
Piacere Luigi come stai,un io lo
Tutto bene tu,tu io
Salve quanto costa quell articolo,pero ora io certo
E in offerta costa dieci euro,tu a io io
Tutto bene grazie,un io lo
Prendiamo un caffe al bar,tu io
"Certo volentieri, io lo prendero macchiato",certo ora io e lo
A che ora arriva il pullman,tu io io
Dovrebbe arrivare tra qualche minuto,a lo
Quanto costa il biglietto,tu lo
Purtroppo non lo so pero potresti chiedere all autista,certo io io e lo
Va bene grazie lo stesso,tu a io io
Prego,tu io
Perfetto vorrei comprarne due.,pero io io e lo
Certo ecco a lei vuole un sacchetto,tu a io
Si grazie e arrivederci,pero e io certo
Le auguro una buona giornata,pero io io io
Buongiorno io sono Mario,un lo
Buonasera io sono Mario,pero e io e lo
Piacere Luigi come stai,pero io io io
Tutto bene tu,tu lo
Salve quanto costa quell articolo,certo ora io certo
