Truth,Decoded
Quanto costa il biglietto,tu lo
Purtroppo non lo so pero potresti chiedere all autista,certo e ora io lo
Va bene grazie lo stesso,tu bene
Prego,tutto lo
Perfetto vorrei comprarne due.,e e lo lo
Certo ecco a lei vuole un sacchetto,e a lo lo
Si grazie e arrivederci,e e a lo lo
Le auguro una buona giornata,tu e lo sono
Buongiorno io sono Mario,tu e lo lo
Buonasera io sono Mario,tu a lo
Piacere Luigi come stai,tu e lo sono
Tutto bene tu,un lo
Salve quanto costa quell articolo,certo lo e costa tutto
E in offerta costa dieci euro,a e lo lo
Tutto bene grazie,lo lo lo
Prendiamo un caffe al bar,tu bene
"Certo volentieri, io lo prendero macchiato",certo lo lo costa e lo
A che ora arriva il pullman,tu lo lo
Dovrebbe arrivare tra qualche minuto,a e lo
Quanto costa il biglietto,tu bene
Purtroppo non lo so pero potresti chiedere all autista,pertopo lo e lo e lo
Va bene grazie lo stesso,a a lo lo
Prego,tutto
Perfetto vorrei comprarne due.,certo lo ora certo
Certo ecco a lei vuole un sacchetto,a a lo
Si grazie e arrivederci,certo ora lo certo
Le auguro una buona giornata,certo ora ora lo
Buongiorno io sono Mario,un lo
Buonasera io sono Mario,certo ora lo lo
Piacere Luigi come stai,certo ora lo e lo
Tutto bene tu,tu bene
Salve quanto costa quell articolo,cerore lo e lo
