Truth,Decoded
Quanto costa il biglietto,pero io lo certo
Purtroppo non lo so pero potresti chiedere all autista,certo ora costa io io
Va bene grazie lo stesso,tu a io
Prego,tu io io
Perfetto vorrei comprarne due.,pero e io io
Certo ecco a lei vuole un sacchetto,e e a io
Si grazie e arrivederci,bene mario lo io
Le auguro una buona giornata,io io so
Buongiorno io sono Mario,tu a io io
Buonasera io sono Mario,tu a sono
Piacere Luigi come stai,tu a io so
Tutto bene tu,tutto io
Salve quanto costa quell articolo,certo ora costa un io
E in offerta costa dieci euro,va e a io
Tutto bene grazie,un io io
Prendiamo un caffe al bar,tu io
"Certo volentieri, io lo prendero macchiato",certo io io costa un io
A che ora arriva il pullman,a io io
Dovrebbe arrivare tra qualche minuto,a a io
Quanto costa il biglietto,tu io
Purtroppo non lo so pero potresti chiedere all autista,pertopo io io come certo
Va bene grazie lo stesso,a a io io
Prego,tutto
Perfetto vorrei comprarne due.,certo ora ora due io
Certo ecco a lei vuole un sacchetto,a e a io
Si grazie e arrivederci,certo e io certo
Le auguro una buona giornata,e io costa certo
Buongiorno io sono Mario,un io
Buonasera io sono Mario,e e e a io
Piacere Luigi come stai,e e e costa certo
Tutto bene tu,tu io
Salve quanto costa quell articolo,certo e costa un io
