Truth,Decoded
Salve quanto costa quell articolo,due e io
E in offerta costa dieci euro,due lo
Tutto bene grazie,un lo
Prendiamo un caffe al bar,un lo
"Certo volentieri, io lo prendero macchiato",certo e io
A che ora arriva il pullman,un lo
Dovrebbe arrivare tra qualche minuto,due io
Quanto costa il biglietto,tu e io
Purtroppo non lo so pero potresti chiedere all autista,pero e io
Va bene grazie lo stesso,due io
Prego,tu e io
Perfetto vorrei comprarne due.,un lo
Certo ecco a lei vuole un sacchetto,pero e io
Si grazie e arrivederci,un e io
Le auguro una buona giornata,pero e io
Buongiorno io sono Mario,pero e io
Buonasera io sono Mario,due lo
Piacere Luigi come stai,un lo
Tutto bene tu,tu e io
Salve quanto costa quell articolo,un e io
E in offerta costa dieci euro,due lo
Tutto bene grazie,un lo
Prendiamo un caffe al bar,due lo
"Certo volentieri, io lo prendero macchiato",pero e io
A che ora arriva il pullman,due io
Dovrebbe arrivare tra qualche minuto,due io
Quanto costa il biglietto,tu e io
Purtroppo non lo so pero potresti chiedere all autista,certo e io
Va bene grazie lo stesso,due io
Prego,tu e io
Perfetto vorrei comprarne due.,due lo
Certo ecco a lei vuole un sacchetto,due e io
