Truth,Decoded
Quanto costa il biglietto,tu a lo
Purtroppo non lo so pero potresti chiedere all autista,certo ora so certo
Va bene grazie lo stesso,tu a bene
Prego,un lo
Perfetto vorrei comprarne due.,e e io io
Certo ecco a lei vuole un sacchetto,a e io lo
Si grazie e arrivederci,e e a io io
Le auguro una buona giornata,tu e io lo
Buongiorno io sono Mario,tu a io lo
Buonasera io sono Mario,tu a lo
Piacere Luigi come stai,un io so
Tutto bene tu,tu lo
Salve quanto costa quell articolo,certo ora costa e io
E in offerta costa dieci euro,a a io io
Tutto bene grazie,io io bene
Prendiamo un caffe al bar,tu bene
"Certo volentieri, io lo prendero macchiato",certo ora costa e io
A che ora arriva il pullman,tu io io
Dovrebbe arrivare tra qualche minuto,tu e lo
Quanto costa il biglietto,tu lo
Purtroppo non lo so pero potresti chiedere all autista,certo e io io
Va bene grazie lo stesso,tu a io io
Prego,tu io
Perfetto vorrei comprarne due.,pero io io io lo
Certo ecco a lei vuole un sacchetto,a a lo
Si grazie e arrivederci,bene e costa certo
Le auguro una buona giornata,pero io io e lo
Buongiorno io sono Mario,un lo
Buonasera io sono Mario,bene e io io
Piacere Luigi come stai,pero io io io
Tutto bene tu,tu lo
Salve quanto costa quell articolo,certo ora costa e lo
