Truth,Decoded
Quanto costa il biglietto,tu lo
Purtroppo non lo so pero potresti chiedere all autista,pero e io io
Va bene grazie lo stesso,io lo
Prego,tu io
Perfetto vorrei comprarne due.,un io lo
Certo ecco a lei vuole un sacchetto,tu io lo
Si grazie e arrivederci,tu a lo
Le auguro una buona giornata,tu io lo
Buongiorno io sono Mario,io lo
Buonasera io sono Mario,tu lo
Piacere Luigi come stai,tu lo
Tutto bene tu,tu io
Salve quanto costa quell articolo,certo ora io e lo
E in offerta costa dieci euro,tu e io lo
Tutto bene grazie,un io lo
Prendiamo un caffe al bar,tu bene
"Certo volentieri, io lo prendero macchiato",certo e io e lo
A che ora arriva il pullman,tu io lo
Dovrebbe arrivare tra qualche minuto,tu e lo
Quanto costa il biglietto,tu io
Purtroppo non lo so pero potresti chiedere all autista,certo io io e lo
Va bene grazie lo stesso,tu a io lo
Prego,tu io
Perfetto vorrei comprarne due.,pero io io e lo
Certo ecco a lei vuole un sacchetto,tu lo
Si grazie e arrivederci,pero e io certo
Le auguro una buona giornata,pero io io e lo
Buongiorno io sono Mario,un lo
Buonasera io sono Mario,pero e io io
Piacere Luigi come stai,pero io io io
Tutto bene tu,tu lo
Salve quanto costa quell articolo,certo ora io lo
