Truth,Decoded
Salve quanto costa quell articolo,certo e costa certo
E in offerta costa dieci euro,e e a io so
Tutto bene grazie,bene e io io
Prendiamo un caffe al bar,un io e io
"Certo volentieri, io lo prendero macchiato",certo io a e costa hier lo atato
A che ora arriva il pullman,a e a io lo
Dovrebbe arrivare tra qualche minuto,e e mario io io
Quanto costa il biglietto,io bene
Purtroppo non lo so pero potresti chiedere all autista,certo io pero costa il atato
Va bene grazie lo stesso,e e si io so
Prego,tutto bene
Perfetto vorrei comprarne due.,tu e a io lo
Certo ecco a lei vuole un sacchetto,bene e costa e io
Si grazie e arrivederci,lo e ora a lo
Le auguro una buona giornata,bene e e e io
Buongiorno io sono Mario,certo e e io io
Buonasera io sono Mario,bene e e lo
Piacere Luigi come stai,tu e si lo lo
Tutto bene tu,tu bene
Salve quanto costa quell articolo,certo lo so e io
E in offerta costa dieci euro,e e io lo
Tutto bene grazie,tu a io lo
Prendiamo un caffe al bar,tu e a a io
"Certo volentieri, io lo prendero macchiato",bene mario costa lo
A che ora arriva il pullman,tu bene
Dovrebbe arrivare tra qualche minuto,tu bene
Quanto costa il biglietto,io bene
Purtroppo non lo so pero potresti chiedere all autista,certo io io io bene io
Va bene grazie lo stesso,lo a a io so
Prego,tutto
Perfetto vorrei comprarne due.,euro io sono
Certo ecco a lei vuole un sacchetto,pero ora io e io
