Truth,Decoded
Salve quanto costa quell articolo,due e io
E in offerta costa dieci euro,un lo
Tutto bene grazie,due lo
Prendiamo un caffe al bar,due lo
"Certo volentieri, io lo prendero macchiato",pero e io
A che ora arriva il pullman,due lo
Dovrebbe arrivare tra qualche minuto,due lo
Quanto costa il biglietto,un lo
Purtroppo non lo so pero potresti chiedere all autista,pero e io
Va bene grazie lo stesso,due lo
Prego,tu e io
Perfetto vorrei comprarne due.,due lo
Certo ecco a lei vuole un sacchetto,pero e io
Si grazie e arrivederci,due lo
Le auguro una buona giornata,certo e io
Buongiorno io sono Mario,certo e io
Buonasera io sono Mario,due lo
Piacere Luigi come stai,un lo
Tutto bene tu,tu e io
Salve quanto costa quell articolo,due lo
E in offerta costa dieci euro,due lo
Tutto bene grazie,due lo
Prendiamo un caffe al bar,due lo
"Certo volentieri, io lo prendero macchiato",certo lo
A che ora arriva il pullman,due lo
Dovrebbe arrivare tra qualche minuto,due io
Quanto costa il biglietto,due e io
Purtroppo non lo so pero potresti chiedere all autista,certo e io
Va bene grazie lo stesso,una lo
Prego,tu e io
Perfetto vorrei comprarne due.,due lo
Certo ecco a lei vuole un sacchetto,pero e io
