Truth,Decoded
Salve quanto costa quell articolo,pero ora lo e lo
E in offerta costa dieci euro,tu e lo lo
Tutto bene grazie,due lo lo
Prendiamo un caffe al bar,due lo
"Certo volentieri, io lo prendero macchiato",certo lo lo e lo
A che ora arriva il pullman,tu e lo lo
Dovrebbe arrivare tra qualche minuto,tu a lo lo
Quanto costa il biglietto,pero lo
Purtroppo non lo so pero potresti chiedere all autista,certo lo lo e lo
Va bene grazie lo stesso,due lo lo
Prego,tu lo
Perfetto vorrei comprarne due.,tu e lo lo
Certo ecco a lei vuole un sacchetto,pero ora lo bene lo
Si grazie e arrivederci,e a lo lo
Le auguro una buona giornata,certo ora lo bene lo
Buongiorno io sono Mario,pero e lo lo
Buonasera io sono Mario,pero lo lo
Piacere Luigi come stai,tu lo
Tutto bene tu,pero lo
Salve quanto costa quell articolo,pero lo lo lo
E in offerta costa dieci euro,pero a lo lo
Tutto bene grazie,tu a lo
Prendiamo un caffe al bar,pero lo lo
"Certo volentieri, io lo prendero macchiato",pero ora lo lo
A che ora arriva il pullman,tu a lo
Dovrebbe arrivare tra qualche minuto,un lo
Quanto costa il biglietto,un lo
Purtroppo non lo so pero potresti chiedere all autista,certo lo lo e lo
Va bene grazie lo stesso,tu a lo
Prego,tu lo
Perfetto vorrei comprarne due.,due lo lo
Certo ecco a lei vuole un sacchetto,pero ora lo lo
