Truth,Decoded
Quanto costa il biglietto,tu a io
Purtroppo non lo so pero potresti chiedere all autista,certo e so certo
Va bene grazie lo stesso,tu a io
Prego,io io
Perfetto vorrei comprarne due.,e e io io
Certo ecco a lei vuole un sacchetto,e e a io io
Si grazie e arrivederci,e e a io
Le auguro una buona giornata,io io sono
Buongiorno io sono Mario,io io io
Buonasera io sono Mario,un sono
Piacere Luigi come stai,tu a io sono
Tutto bene tu,un io
Salve quanto costa quell articolo,certo io costa certo
E in offerta costa dieci euro,a a io io
Tutto bene grazie,io io io
Prendiamo un caffe al bar,io io
"Certo volentieri, io lo prendero macchiato",certo io io costa un io
A che ora arriva il pullman,tu io io
Dovrebbe arrivare tra qualche minuto,tu a io
Quanto costa il biglietto,tu io
Purtroppo non lo so pero potresti chiedere all autista,pertopo io e io e io
Va bene grazie lo stesso,a a io io
Prego,tutto
Perfetto vorrei comprarne due.,certo io ora un io
Certo ecco a lei vuole un sacchetto,a a io
Si grazie e arrivederci,e e e io certo
Le auguro una buona giornata,e io io io
Buongiorno io sono Mario,un io
Buonasera io sono Mario,e e e costa certo
Piacere Luigi come stai,e e io certo
Tutto bene tu,tu io
Salve quanto costa quell articolo,certo ora costa un io
