Truth,Decoded
Quanto costa il biglietto,tu bene
Purtroppo non lo so pero potresti chiedere all autista,certo lo lo
Va bene grazie lo stesso,tu bene
Prego,tu lo
Perfetto vorrei comprarne due.,un bene
Certo ecco a lei vuole un sacchetto,lo lo bene
Si grazie e arrivederci,tu un a bene
Le auguro una buona giornata,lo lo bene
Buongiorno io sono Mario,tutto bene
Buonasera io sono Mario,tutto lo
Piacere Luigi come stai,un lo bene
Tutto bene tu,tu lo
Salve quanto costa quell articolo,e lo costa un io
E in offerta costa dieci euro,tu lo lo io
Tutto bene grazie,lo lo bene
Prendiamo un caffe al bar,un bene
"Certo volentieri, io lo prendero macchiato",e lo costa un lo
A che ora arriva il pullman,tu lo bene
Dovrebbe arrivare tra qualche minuto,un bene
Quanto costa il biglietto,tutto
Purtroppo non lo so pero potresti chiedere all autista,pero lo lo e lo
Va bene grazie lo stesso,lo lo lo
Prego,tutto
Perfetto vorrei comprarne due.,pero lo lo io lo
Certo ecco a lei vuole un sacchetto,lo lo lo
Si grazie e arrivederci,e e lei lo un io
Le auguro una buona giornata,e lo lo e lo
Buongiorno io sono Mario,tutto lo
Buonasera io sono Mario,e e e costa e io
Piacere Luigi come stai,e lo lo e io
Tutto bene tu,tu bene
Salve quanto costa quell articolo,certo e costa ueiuto
