Truth,Decoded
Quanto costa il biglietto,tu a lo
Purtroppo non lo so pero potresti chiedere all autista,certo e so certo
Va bene grazie lo stesso,tu a lo bene
Prego,un lo
Perfetto vorrei comprarne due.,tu e lo lo
Certo ecco a lei vuole un sacchetto,a a lo lo
Si grazie e arrivederci,e e a lo
Le auguro una buona giornata,lo lo lo
Buongiorno io sono Mario,lo lo bene
Buonasera io sono Mario,tu a lo lo
Piacere Luigi come stai,lo lo sono
Tutto bene tu,un lo
Salve quanto costa quell articolo,certo ora costa tutto
E in offerta costa dieci euro,tu e lo lo
Tutto bene grazie,lo lo bene
Prendiamo un caffe al bar,lo bene
"Certo volentieri, io lo prendero macchiato",certo lo costa e lo
A che ora arriva il pullman,tu lo bene
Dovrebbe arrivare tra qualche minuto,tu e lo
Quanto costa il biglietto,tu bene
Purtroppo non lo so pero potresti chiedere all autista,certo e lo e lo
Va bene grazie lo stesso,tu a lo lo
Prego,un lo
Perfetto vorrei comprarne due.,pero lo lo e lo
Certo ecco a lei vuole un sacchetto,a a lo
Si grazie e arrivederci,e e lo e lo
Le auguro una buona giornata,e lo so e lo
Buongiorno io sono Mario,un lo
Buonasera io sono Mario,bene e lo e lo
Piacere Luigi come stai,e e lo lo
Tutto bene tu,tu bene
Salve quanto costa quell articolo,certo e lo e lo
