Truth,Decoded
Quanto costa il biglietto,tu bene
Purtroppo non lo so pero potresti chiedere all autista,pero e lo e lo
Va bene grazie lo stesso,lo bene
Prego,tu bene
Perfetto vorrei comprarne due.,un lo lo
Certo ecco a lei vuole un sacchetto,un lo
Si grazie e arrivederci,tu un a lo
Le auguro una buona giornata,lo lo una
Buongiorno io sono Mario,lo bene
Buonasera io sono Mario,lo lo
Piacere Luigi come stai,un lo sono
Tutto bene tu,un lo
Salve quanto costa quell articolo,certo lo costa un lo
E in offerta costa dieci euro,va un a lo lo
Tutto bene grazie,un lo lo
Prendiamo un caffe al bar,tu bene
"Certo volentieri, io lo prendero macchiato",certo lo lo costa un lo
A che ora arriva il pullman,tu un lo lo
Dovrebbe arrivare tra qualche minuto,tu a lo
Quanto costa il biglietto,tu bene
Purtroppo non lo so pero potresti chiedere all autista,pertopo lo lo lo e lo
Va bene grazie lo stesso,tu a lo so
Prego,tutto
Perfetto vorrei comprarne due.,certo ora a un io
Certo ecco a lei vuole un sacchetto,a a lo lo
Si grazie e arrivederci,bene lei costa un lo
Le auguro una buona giornata,e lo lo un io
Buongiorno io sono Mario,un lo
Buonasera io sono Mario,e e e a lo
Piacere Luigi come stai,e e si costa un lo
Tutto bene tu,tu bene
Salve quanto costa quell articolo,certo ora costa un lo
