Truth,Decoded
Salve quanto costa quell articolo,certo io lo costa e certo
E in offerta costa dieci euro,e e a io certo
Tutto bene grazie,certo e io euro
Prendiamo un caffe al bar,a lo io e io
"Certo volentieri, io lo prendero macchiato",certo io a pero costa hier lo atato
A che ora arriva il pullman,e a io lo
Dovrebbe arrivare tra qualche minuto,bene mario io io
Quanto costa il biglietto,bar io bene
Purtroppo non lo so pero potresti chiedere all autista,certo io pero costa rederl artato
Va bene grazie lo stesso,bene si lo io
Prego,un bene
Perfetto vorrei comprarne due.,e e a io lo
Certo ecco a lei vuole un sacchetto,bene mario ora e io
Si grazie e arrivederci,e e ora a lo
Le auguro una buona giornata,certo io a e e io
Buongiorno io sono Mario,certo e e io io
Buonasera io sono Mario,bene mario io e io
Piacere Luigi come stai,e si lo io
Tutto bene tu,tra bene
Salve quanto costa quell articolo,certo ora sono io io
E in offerta costa dieci euro,bene io a euro
Tutto bene grazie,a a io io
Prendiamo un caffe al bar,pero io lo
"Certo volentieri, io lo prendero macchiato",certo a costa lo
A che ora arriva il pullman,a io bene
Dovrebbe arrivare tra qualche minuto,tu bene
Quanto costa il biglietto,euro e io
Purtroppo non lo so pero potresti chiedere all autista,certo io lo lo e atato
Va bene grazie lo stesso,lo e a io so
Prego,tutto
Perfetto vorrei comprarne due.,tu lo io sono
Certo ecco a lei vuole un sacchetto,certo lo si costa e io
