Truth,Decoded
Quanto costa il biglietto,tu bene
Purtroppo non lo so pero potresti chiedere all autista,pero ora lo ineato
Va bene grazie lo stesso,un bene
Prego,tu bene
Perfetto vorrei comprarne due.,una lo sono
Certo ecco a lei vuole un sacchetto,tu a lo
Si grazie e arrivederci,tu un io lo so
Le auguro una buona giornata,lo lo sono
Buongiorno io sono Mario,lo bene
Buonasera io sono Mario,un sono
Piacere Luigi come stai,un lo sono
Tutto bene tu,tu lo
Salve quanto costa quell articolo,certo lo costa un lo
E in offerta costa dieci euro,lo e a a lo
Tutto bene grazie,lo lo lo
Prendiamo un caffe al bar,tu bene
"Certo volentieri, io lo prendero macchiato",certo lo e costa un minuto
A che ora arriva il pullman,a lo certo
Dovrebbe arrivare tra qualche minuto,a a lo bene
Quanto costa il biglietto,tu bene
Purtroppo non lo so pero potresti chiedere all autista,purtroppo lo lo io il minuto
Va bene grazie lo stesso,lo a lo so
Prego,tutto
Perfetto vorrei comprarne due.,certo ora costa due lo
Certo ecco a lei vuole un sacchetto,lo e a lo lo
Si grazie e arrivederci,bene ora costa un atato
Le auguro una buona giornata,e e io costa un io
Buongiorno io sono Mario,lo lo
Buonasera io sono Mario,e e e costa lo
Piacere Luigi come stai,e e si lo un lo
Tutto bene tu,tu bene
Salve quanto costa quell articolo,certo ora costa un tutto
