Truth,Decoded
Quanto costa il biglietto,pero io io
Purtroppo non lo so pero potresti chiedere all autista,certo e so io
Va bene grazie lo stesso,tu lo
Prego,un lo
Perfetto vorrei comprarne due.,pero io io
Certo ecco a lei vuole un sacchetto,tu a io lo
Si grazie e arrivederci,e a io lo
Le auguro una buona giornata,tu io lo
Buongiorno io sono Mario,tu a io
Buonasera io sono Mario,tu a io
Piacere Luigi come stai,tu a io lo
Tutto bene tu,tu io
Salve quanto costa quell articolo,pero ora io e lo
E in offerta costa dieci euro,tu a io io
Tutto bene grazie,un io lo
Prendiamo un caffe al bar,tu lo
"Certo volentieri, io lo prendero macchiato",certo e io e lo
A che ora arriva il pullman,tu io bene
Dovrebbe arrivare tra qualche minuto,a lo
Quanto costa il biglietto,tu io
Purtroppo non lo so pero potresti chiedere all autista,certo io io e lo
Va bene grazie lo stesso,tu io lo
Prego,tu io
Perfetto vorrei comprarne due.,pero io io certo
Certo ecco a lei vuole un sacchetto,tu io
Si grazie e arrivederci,pero e io certo
Le auguro una buona giornata,pero io io io
Buongiorno io sono Mario,tu lo
Buonasera io sono Mario,pero e io io
Piacere Luigi come stai,pero e io io
Tutto bene tu,tu io
Salve quanto costa quell articolo,certo e io e lo
