Truth,Decoded
Salve quanto costa quell articolo,pero ora lo lo
E in offerta costa dieci euro,due lo lo
Tutto bene grazie,pero lo lo
Prendiamo un caffe al bar,due lo
"Certo volentieri, io lo prendero macchiato",certo e costa bene lo
A che ora arriva il pullman,tu e lo lo
Dovrebbe arrivare tra qualche minuto,tu e lo lo
Quanto costa il biglietto,pero lo
Purtroppo non lo so pero potresti chiedere all autista,certo lo lo e lo
Va bene grazie lo stesso,pero lo lo
Prego,tu lo
Perfetto vorrei comprarne due.,tu e lo lo
Certo ecco a lei vuole un sacchetto,certo e lo bene lo
Si grazie e arrivederci,pero lo lo
Le auguro una buona giornata,certo e lo bene lo
Buongiorno io sono Mario,certo so lo
Buonasera io sono Mario,pero lo lo
Piacere Luigi come stai,tu lo
Tutto bene tu,pero lo
Salve quanto costa quell articolo,pero lo lo lo
E in offerta costa dieci euro,pero a lo lo
Tutto bene grazie,a e lo
Prendiamo un caffe al bar,pero e lo lo
"Certo volentieri, io lo prendero macchiato",pero ora lo certo
A che ora arriva il pullman,un lo
Dovrebbe arrivare tra qualche minuto,tu lo
Quanto costa il biglietto,pero lo
Purtroppo non lo so pero potresti chiedere all autista,certo lo lo e lo
Va bene grazie lo stesso,tu a lo
Prego,tu lo
Perfetto vorrei comprarne due.,due lo lo
Certo ecco a lei vuole un sacchetto,pero ora lo lo
