Truth,Decoded
Quanto costa il biglietto,tu e a io bene io
Purtroppo non lo so pero potresti chiedere all autista,certo ora so bene io
Va bene grazie lo stesso,tu a a bene
Prego,tu bene
Perfetto vorrei comprarne due.,e e lo io io
Certo ecco a lei vuole un sacchetto,e e a lo
Si grazie e arrivederci,e e mario lo
Le auguro una buona giornata,tu lo io snmao
Buongiorno io sono Mario,io io bneao
Buonasera io sono Mario,una sono
Piacere Luigi come stai,un lo io sono
Tutto bene tu,un bene
Salve quanto costa quell articolo,certo io lo costa e io
E in offerta costa dieci euro,lo e e lo certo
Tutto bene grazie,euro io bene
Prendiamo un caffe al bar,io bene
"Certo volentieri, io lo prendero macchiato",certo io lo costa e io
A che ora arriva il pullman,a io bene
Dovrebbe arrivare tra qualche minuto,tu e a io bene
Quanto costa il biglietto,tu bene
Purtroppo non lo so pero potresti chiedere all autista,purtnpo io lo come io io
Va bene grazie lo stesso,a e a io io
Prego,tutto
Perfetto vorrei comprarne due.,certo io costa e io
Certo ecco a lei vuole un sacchetto,lo e io lo lo
Si grazie e arrivederci,bene e costa e io
Le auguro una buona giornata,e lo costa due io
Buongiorno io sono Mario,tutto lo
Buonasera io sono Mario,e e e costa e lo
Piacere Luigi come stai,e e lo costa io
Tutto bene tu,tutto bene
Salve quanto costa quell articolo,certo io lo costa e certo
