Truth,Decoded
Salve quanto costa quell articolo,pero lo lo e lo
E in offerta costa dieci euro,due lo lo
Tutto bene grazie,due lo lo
Prendiamo un caffe al bar,due lo
"Certo volentieri, io lo prendero macchiato",certo lo costa bene lo
A che ora arriva il pullman,tu e lo lo
Dovrebbe arrivare tra qualche minuto,tu e lo lo
Quanto costa il biglietto,pero lo
Purtroppo non lo so pero potresti chiedere all autista,certo lo lo bene lo
Va bene grazie lo stesso,due lo lo
Prego,tu lo
Perfetto vorrei comprarne due.,due lo lo
Certo ecco a lei vuole un sacchetto,certo ora lo bene lo
Si grazie e arrivederci,pero lo lo
Le auguro una buona giornata,certo lo lo bene lo
Buongiorno io sono Mario,certo so e lo
Buonasera io sono Mario,pero lo
Piacere Luigi come stai,tu lo
Tutto bene tu,un lo
Salve quanto costa quell articolo,pero lo lo lo
E in offerta costa dieci euro,pero a lo lo
Tutto bene grazie,tu e lo lo
Prendiamo un caffe al bar,pero e lo e lo
"Certo volentieri, io lo prendero macchiato",pero ora lo lo
A che ora arriva il pullman,due lo lo
Dovrebbe arrivare tra qualche minuto,un lo
Quanto costa il biglietto,pero lo
Purtroppo non lo so pero potresti chiedere all autista,certo lo lo bene lo
Va bene grazie lo stesso,tu a lo lo
Prego,tu lo
Perfetto vorrei comprarne due.,due lo lo
Certo ecco a lei vuole un sacchetto,pero ora lo e lo
