Truth,Decoded
Si grazie e arrivederci,pero e lo
Le auguro una buona giornata,due lo
Buongiorno io sono Mario,due lo
Buonasera io sono Mario,due lo
Piacere Luigi come stai,tu a lo
Tutto bene tu,due lo
Salve quanto costa quell articolo,un lo
E in offerta costa dieci euro,due lo
Tutto bene grazie,due lo
Prendiamo un caffe al bar,un lo
"Certo volentieri, io lo prendero macchiato",un lo
A che ora arriva il pullman,un lo
Dovrebbe arrivare tra qualche minuto,un lo
Quanto costa il biglietto,un lo
Purtroppo non lo so pero potresti chiedere all autista,due lo
Va bene grazie lo stesso,un lo
Prego,tu lo
Perfetto vorrei comprarne due.,due lo
Certo ecco a lei vuole un sacchetto,un lo
Si grazie e arrivederci,un lo
Le auguro una buona giornata,un lo
Buongiorno io sono Mario,un lo
Buonasera io sono Mario,due lo
Piacere Luigi come stai,due lo
Tutto bene tu,tu e lo
Salve quanto costa quell articolo,tu e lo
E in offerta costa dieci euro,tu lo
Tutto bene grazie,tu e lo
Prendiamo un caffe al bar,un lo
"Certo volentieri, io lo prendero macchiato",un lo
A che ora arriva il pullman,tu lo
Dovrebbe arrivare tra qualche minuto,tu e lo
