Truth,Decoded
Si grazie e arrivederci,bene a a tutto
Le auguro una buona giornata,tu e lo bene
Buongiorno io sono Mario,tu e lo bene
Buonasera io sono Mario,tu e a lo lo
Piacere Luigi come stai,tu un a lo lo
Tutto bene tu,tu lo
Salve quanto costa quell articolo,a e io a lo
E in offerta costa dieci euro,lo e io a lo
Tutto bene grazie,tu bene
Prendiamo un caffe al bar,tu a bene
"Certo volentieri, io lo prendero macchiato",e e io a certo
A che ora arriva il pullman,tu bene
Dovrebbe arrivare tra qualche minuto,tu a lo bene
Quanto costa il biglietto,tu bene
Purtroppo non lo so pero potresti chiedere all autista,bene lo costa due io
Va bene grazie lo stesso,tu a lo bene
Prego,tutto
Perfetto vorrei comprarne due.,a e lo so
Certo ecco a lei vuole un sacchetto,e e a costa ueiuto
Si grazie e arrivederci,a a bene
Le auguro una buona giornata,tu bene
Buongiorno io sono Mario,tu lo bene
Buonasera io sono Mario,a e a lo lo
Piacere Luigi come stai,tu e lo lo sono
Tutto bene tu,tutto
Salve quanto costa quell articolo,tutto lo
E in offerta costa dieci euro,lo lo una
Tutto bene grazie,tu bene
Prendiamo un caffe al bar,tu bene
"Certo volentieri, io lo prendero macchiato",tu e io lo lo
A che ora arriva il pullman,tu bene
Dovrebbe arrivare tra qualche minuto,tu bene
