Truth,Decoded
Salve quanto costa quell articolo,certo lei costa ueiuto
E in offerta costa dieci euro,e e a lo certo
Tutto bene grazie,bene io lo euro
Prendiamo un caffe al bar,tu a lo bene
"Certo volentieri, io lo prendero macchiato",certo lo pero lo bene lo atato
A che ora arriva il pullman,a e a io lo
Dovrebbe arrivare tra qualche minuto,e e mario lo lo
Quanto costa il biglietto,un bene
Purtroppo non lo so pero potresti chiedere all autista,certo lo pero costa rederl atato
Va bene grazie lo stesso,bene mario lo lo
Prego,un bene
Perfetto vorrei comprarne due.,a e mario io lo
Certo ecco a lei vuole un sacchetto,certo a lo un lo
Si grazie e arrivederci,e e mario a certo
Le auguro una buona giornata,pero lo a costa e lo
Buongiorno io sono Mario,pero si so io lo
Buonasera io sono Mario,bene io lo tutto
Piacere Luigi come stai,tu a lo lo
Tutto bene tu,tutto bene
Salve quanto costa quell articolo,certo lo ora e io
E in offerta costa dieci euro,bene mario ueiuto
Tutto bene grazie,a a lo
Prendiamo un caffe al bar,e e io lo
"Certo volentieri, io lo prendero macchiato",pero si costa tutto
A che ora arriva il pullman,a a lo bene
Dovrebbe arrivare tra qualche minuto,tu lo bene
Quanto costa il biglietto,un lo bene
Purtroppo non lo so pero potresti chiedere all autista,certo lo lo lo e lo
Va bene grazie lo stesso,lo e a lo so
Prego,un lo
Perfetto vorrei comprarne due.,tu pero lo lo
Certo ecco a lei vuole un sacchetto,certo ora lo un io
