Truth,Decoded
Quanto costa il biglietto,tutto bene
Purtroppo non lo so pero potresti chiedere all autista,pero e lo e lo
Va bene grazie lo stesso,tu bene
Prego,tu lo
Perfetto vorrei comprarne due.,pero lo lo
Certo ecco a lei vuole un sacchetto,una lo lo
Si grazie e arrivederci,tu un a lo
Le auguro una buona giornata,lo lo una
Buongiorno io sono Mario,un bene
Buonasera io sono Mario,un sono
Piacere Luigi come stai,tutto lo sono
Tutto bene tu,tu lo
Salve quanto costa quell articolo,e e io costa un io
E in offerta costa dieci euro,tu lo io so
Tutto bene grazie,tutto bene
Prendiamo un caffe al bar,tutto bene
"Certo volentieri, io lo prendero macchiato",e e lo costa un lo
A che ora arriva il pullman,un lo bene
Dovrebbe arrivare tra qualche minuto,un bene
Quanto costa il biglietto,tu lo
Purtroppo non lo so pero potresti chiedere all autista,certo lo e lo
Va bene grazie lo stesso,lo lo lo
Prego,tutto
Perfetto vorrei comprarne due.,certo lo io lo
Certo ecco a lei vuole un sacchetto,un lo lo
Si grazie e arrivederci,e e io lo un lo
Le auguro una buona giornata,e e lo lo e lo
Buongiorno io sono Mario,tutto lo
Buonasera io sono Mario,e e si lo lo
Piacere Luigi come stai,a lo lo e lo
Tutto bene tu,tu bene
Salve quanto costa quell articolo,certo e lo certo
