Truth,Decoded
Quanto costa il biglietto,tu bene
Purtroppo non lo so pero potresti chiedere all autista,certo io io
Va bene grazie lo stesso,tu bene
Prego,tutto
Perfetto vorrei comprarne due.,tutto bene
Certo ecco a lei vuole un sacchetto,io io bene
Si grazie e arrivederci,tu a a bene
Le auguro una buona giornata,io bene
Buongiorno io sono Mario,tutto bene
Buonasera io sono Mario,tutto lo
Piacere Luigi come stai,tutto bene
Tutto bene tu,tutto
Salve quanto costa quell articolo,e e e costa e io
E in offerta costa dieci euro,tu a io io so
Tutto bene grazie,tutto bene
Prendiamo un caffe al bar,tu bene
"Certo volentieri, io lo prendero macchiato",e io costa due io
A che ora arriva il pullman,tu io bene
Dovrebbe arrivare tra qualche minuto,un bene
Quanto costa il biglietto,tutto
Purtroppo non lo so pero potresti chiedere all autista,certo io io e io
Va bene grazie lo stesso,tu lo io lo
Prego,tutto
Perfetto vorrei comprarne due.,certo lo io e io
Certo ecco a lei vuole un sacchetto,un io io
Si grazie e arrivederci,e e io lo e io
Le auguro una buona giornata,e e io io e io
Buongiorno io sono Mario,tutto lo
Buonasera io sono Mario,e e e lo io
Piacere Luigi come stai,e e io lo io
Tutto bene tu,tu bene
Salve quanto costa quell articolo,certo e costa certo
