Truth,Decoded
Quanto costa il biglietto,tu e lo
Purtroppo non lo so pero potresti chiedere all autista,pero lo
Va bene grazie lo stesso,tu e lo
Prego,tu e lo
Perfetto vorrei comprarne due.,un lo
Certo ecco a lei vuole un sacchetto,un lo
Si grazie e arrivederci,un lo
Le auguro una buona giornata,un lo
Buongiorno io sono Mario,tu lo
Buonasera io sono Mario,tu e lo
Piacere Luigi come stai,tu e lo
Tutto bene tu,tu e lo
Salve quanto costa quell articolo,un lo
E in offerta costa dieci euro,tu lo
Tutto bene grazie,tu lo
Prendiamo un caffe al bar,due lo
"Certo volentieri, io lo prendero macchiato",certo e lo
A che ora arriva il pullman,tu e lo
Dovrebbe arrivare tra qualche minuto,un lo
Quanto costa il biglietto,un lo
Purtroppo non lo so pero potresti chiedere all autista,tu lo e lo
Va bene grazie lo stesso,tu e lo
Prego,tu e lo
Perfetto vorrei comprarne due.,e lo e lo
Certo ecco a lei vuole un sacchetto,tu lo
Si grazie e arrivederci,un lo
Le auguro una buona giornata,pero lo
Buongiorno io sono Mario,tu lo
Buonasera io sono Mario,pero lo e lo
Piacere Luigi come stai,pero e lo
Tutto bene tu,tu e lo
Salve quanto costa quell articolo,pero e lo
