Truth,Decoded
Quanto costa il biglietto,un io io
Purtroppo non lo so pero potresti chiedere all autista,pero ora so certo
Va bene grazie lo stesso,tu a io bene
Prego,tu io
Perfetto vorrei comprarne due.,e e io io
Certo ecco a lei vuole un sacchetto,e e a io io
Si grazie e arrivederci,e e a io
Le auguro una buona giornata,io io io
Buongiorno io sono Mario,io io io
Buonasera io sono Mario,euro io io
Piacere Luigi come stai,pero io sono
Tutto bene tu,un io
Salve quanto costa quell articolo,certo io costa un io
E in offerta costa dieci euro,lo e a io
Tutto bene grazie,io io bene
Prendiamo un caffe al bar,io io
"Certo volentieri, io lo prendero macchiato",certo io io costa un io
A che ora arriva il pullman,a a io io
Dovrebbe arrivare tra qualche minuto,a a io
Quanto costa il biglietto,tu io
Purtroppo non lo so pero potresti chiedere all autista,pertopo io io so e io
Va bene grazie lo stesso,a a io io
Prego,tutto
Perfetto vorrei comprarne due.,certo io ora un io
Certo ecco a lei vuole un sacchetto,a a io
Si grazie e arrivederci,bene io costa un io
Le auguro una buona giornata,e io costa un io
Buongiorno io sono Mario,un io
Buonasera io sono Mario,bene e costa un io
Piacere Luigi come stai,e e costa un io
Tutto bene tu,tutto io
Salve quanto costa quell articolo,certo io costa un io
