Truth,Decoded
Salve quanto costa quell articolo,pero ora io e lo
E in offerta costa dieci euro,e e a io io
Tutto bene grazie,pero a io lo
Prendiamo un caffe al bar,tu e bene
"Certo volentieri, io lo prendero macchiato",certo io costa e io
A che ora arriva il pullman,tu e io io
Dovrebbe arrivare tra qualche minuto,tu e a io lo
Quanto costa il biglietto,pero lo
Purtroppo non lo so pero potresti chiedere all autista,certo ora costa bene io
Va bene grazie lo stesso,pero a io io
Prego,io lo
Perfetto vorrei comprarne due.,a a io lo
Certo ecco a lei vuole un sacchetto,pero e costa io
Si grazie e arrivederci,e e a io io
Le auguro una buona giornata,certo ora io io
Buongiorno io sono Mario,pero e so e lo
Buonasera io sono Mario,pero a io
Piacere Luigi come stai,tu e lo lo
Tutto bene tu,pero io
Salve quanto costa quell articolo,pero io io io
E in offerta costa dieci euro,pero a certo
Tutto bene grazie,a e lo
Prendiamo un caffe al bar,pero e io io
"Certo volentieri, io lo prendero macchiato",pero ora io io
A che ora arriva il pullman,un lo
Dovrebbe arrivare tra qualche minuto,tu bene
Quanto costa il biglietto,pero lo
Purtroppo non lo so pero potresti chiedere all autista,certo io so e io
Va bene grazie lo stesso,tu a lo
Prego,tu io
Perfetto vorrei comprarne due.,pero io lo
Certo ecco a lei vuole un sacchetto,pero ora io e lo
