Truth,Decoded
Quanto costa il biglietto,un lo
Purtroppo non lo so pero potresti chiedere all autista,certo ora io certo
Va bene grazie lo stesso,tu lo
Prego,io lo
Perfetto vorrei comprarne due.,e e io lo
Certo ecco a lei vuole un sacchetto,a a io lo
Si grazie e arrivederci,e e a io io
Le auguro una buona giornata,un io sono
Buongiorno io sono Mario,tu a io lo
Buonasera io sono Mario,a lo
Piacere Luigi come stai,un io sono
Tutto bene tu,tu lo
Salve quanto costa quell articolo,certo ora io e lo
E in offerta costa dieci euro,a a io io
Tutto bene grazie,un io lo
Prendiamo un caffe al bar,tu lo
"Certo volentieri, io lo prendero macchiato",certo ora costa io io
A che ora arriva il pullman,tu io io
Dovrebbe arrivare tra qualche minuto,a a lo
Quanto costa il biglietto,tu lo
Purtroppo non lo so pero potresti chiedere all autista,certo ora io e lo
Va bene grazie lo stesso,a a io io
Prego,tu lo
Perfetto vorrei comprarne due.,pero io io e lo
Certo ecco a lei vuole un sacchetto,a a io
Si grazie e arrivederci,bene ora io e io
Le auguro una buona giornata,pero ora io io
Buongiorno io sono Mario,un lo
Buonasera io sono Mario,pero ora io io
Piacere Luigi come stai,certo ora io io
Tutto bene tu,tu lo
Salve quanto costa quell articolo,certo io e io certo
