Truth,Decoded
Quanto costa il biglietto,tu io
Purtroppo non lo so pero potresti chiedere all autista,pero e io lo
Va bene grazie lo stesso,tu io
Prego,tu io
Perfetto vorrei comprarne due.,tu e io io
Certo ecco a lei vuole un sacchetto,tu a io io
Si grazie e arrivederci,tu a io io
Le auguro una buona giornata,tu e io io
Buongiorno io sono Mario,tu a io
Buonasera io sono Mario,tu a io
Piacere Luigi come stai,tu io
Tutto bene tu,tu io
Salve quanto costa quell articolo,pero ora io e io
E in offerta costa dieci euro,tu a io lo
Tutto bene grazie,due io io
Prendiamo un caffe al bar,tu io
"Certo volentieri, io lo prendero macchiato",pero ora io e io
A che ora arriva il pullman,tu a io
Dovrebbe arrivare tra qualche minuto,tu a io
Quanto costa il biglietto,tu io
Purtroppo non lo so pero potresti chiedere all autista,certo ora io io
Va bene grazie lo stesso,tu a io lo
Prego,tu io
Perfetto vorrei comprarne due.,pero io io certo
Certo ecco a lei vuole un sacchetto,tu a io
Si grazie e arrivederci,pero ora io e io
Le auguro una buona giornata,pero io lo
Buongiorno io sono Mario,tu io
Buonasera io sono Mario,pero e io e io
Piacere Luigi come stai,pero e io lo
Tutto bene tu,tu io
Salve quanto costa quell articolo,pero ora io io
