Truth,Decoded
Quanto costa il biglietto,tu e lo sono
Purtroppo non lo so pero potresti chiedere all autista,certo ora ora certo
Va bene grazie lo stesso,tu a io io
Prego,tutto io
Perfetto vorrei comprarne due.,e e a io io
Certo ecco a lei vuole un sacchetto,e e a io io
Si grazie e arrivederci,e e ora io
Le auguro una buona giornata,io io sono
Buongiorno io sono Mario,io io sono
Buonasera io sono Mario,una sono
Piacere Luigi come stai,io io sono
Tutto bene tu,un io
Salve quanto costa quell articolo,bene io costa certo
E in offerta costa dieci euro,va e a lo so
Tutto bene grazie,pero io io
Prendiamo un caffe al bar,tu io
"Certo volentieri, io lo prendero macchiato",certo io costa un io
A che ora arriva il pullman,tu io bene
Dovrebbe arrivare tra qualche minuto,tu e io
Quanto costa il biglietto,tu io
Purtroppo non lo so pero potresti chiedere all autista,pertopo io io so io io
Va bene grazie lo stesso,a a io io
Prego,tutto
Perfetto vorrei comprarne due.,certo io ora due io
Certo ecco a lei vuole un sacchetto,e a lo io
Si grazie e arrivederci,bene e io certo
Le auguro una buona giornata,e e io io e io
Buongiorno io sono Mario,tutto io
Buonasera io sono Mario,e e e a io
Piacere Luigi come stai,e e si io io
Tutto bene tu,tutto io
Salve quanto costa quell articolo,certo io costa certo
