Truth,Decoded
Quanto costa il biglietto,tu e lo
Purtroppo non lo so pero potresti chiedere all autista,pero e lo
Va bene grazie lo stesso,un lo
Prego,un lo
Perfetto vorrei comprarne due.,un lo
Certo ecco a lei vuole un sacchetto,un lo
Si grazie e arrivederci,un lo
Le auguro una buona giornata,un lo
Buongiorno io sono Mario,tu lo
Buonasera io sono Mario,tu e lo
Piacere Luigi come stai,tu e lo
Tutto bene tu,tu e lo
Salve quanto costa quell articolo,un lo
E in offerta costa dieci euro,un lo
Tutto bene grazie,tu lo
Prendiamo un caffe al bar,due lo
"Certo volentieri, io lo prendero macchiato",pero lo e lo
A che ora arriva il pullman,tu e lo
Dovrebbe arrivare tra qualche minuto,un lo
Quanto costa il biglietto,tu e lo
Purtroppo non lo so pero potresti chiedere all autista,pero e lo
Va bene grazie lo stesso,tu e lo
Prego,tu e lo
Perfetto vorrei comprarne due.,pero lo
Certo ecco a lei vuole un sacchetto,un lo
Si grazie e arrivederci,un lo
Le auguro una buona giornata,un lo
Buongiorno io sono Mario,tu lo
Buonasera io sono Mario,e lo lo
Piacere Luigi come stai,pero lo
Tutto bene tu,tu e lo
Salve quanto costa quell articolo,pero lo e lo
