Truth,Decoded
Quanto costa il biglietto,tu a bneato
Purtroppo non lo so pero potresti chiedere all autista,certo ora so certo
Va bene grazie lo stesso,tu a io io
Prego,tutto io
Perfetto vorrei comprarne due.,e e io io
Certo ecco a lei vuole un sacchetto,e e a io io
Si grazie e arrivederci,e e a io
Le auguro una buona giornata,io io sono
Buongiorno io sono Mario,io io io
Buonasera io sono Mario,euro io sono
Piacere Luigi come stai,pero io sono
Tutto bene tu,un io
Salve quanto costa quell articolo,certo ora costa un io
E in offerta costa dieci euro,tu a io io
Tutto bene grazie,un io io
Prendiamo un caffe al bar,io io
"Certo volentieri, io lo prendero macchiato",certo io io costa un io
A che ora arriva il pullman,tu io certo
Dovrebbe arrivare tra qualche minuto,tu a io
Quanto costa il biglietto,tu io
Purtroppo non lo so pero potresti chiedere all autista,pertopo io io io e io
Va bene grazie lo stesso,tu a io io
Prego,tutto
Perfetto vorrei comprarne due.,certo ora ora io io
Certo ecco a lei vuole un sacchetto,a e a io
Si grazie e arrivederci,bene e costa certo
Le auguro una buona giornata,e io so e io
Buongiorno io sono Mario,un io
Buonasera io sono Mario,bene e a io
Piacere Luigi come stai,e e costa io
Tutto bene tu,tu io
Salve quanto costa quell articolo,certo e costa un io
