Truth,Decoded
Quanto costa il biglietto,euro bemao
Purtroppo non lo so pero potresti chiedere all autista,certo ora so io lo
Va bene grazie lo stesso,una bene
Prego,un bene
Perfetto vorrei comprarne due.,tu a lo lo
Certo ecco a lei vuole un sacchetto,tu a lo
Si grazie e arrivederci,a e mario so
Le auguro una buona giornata,lo lo lo
Buongiorno io sono Mario,lo lo bene
Buonasera io sono Mario,una sono
Piacere Luigi come stai,una lo so
Tutto bene tu,un bene
Salve quanto costa quell articolo,certo ora costa due lo
E in offerta costa dieci euro,a a lo lo
Tutto bene grazie,pero lo bene
Prendiamo un caffe al bar,lo bene
"Certo volentieri, io lo prendero macchiato",certo lo costa un lo
A che ora arriva il pullman,tu lo bene
Dovrebbe arrivare tra qualche minuto,una bene
Quanto costa il biglietto,tu bene
Purtroppo non lo so pero potresti chiedere all autista,pertopo lo lo so io lo
Va bene grazie lo stesso,tu un a lo so
Prego,tutto
Perfetto vorrei comprarne due.,certo lo a un lo
Certo ecco a lei vuole un sacchetto,un a lo lo
Si grazie e arrivederci,e e io costa due lo
Le auguro una buona giornata,e e lo lo tutto
Buongiorno io sono Mario,tutto lo
Buonasera io sono Mario,e e io costa lo
Piacere Luigi come stai,e e io costa tutto
Tutto bene tu,tutto bene
Salve quanto costa quell articolo,certo e costa un tutto
