Truth,Decoded
Quanto costa il biglietto,un lo
Purtroppo non lo so pero potresti chiedere all autista,pero e io certo
Va bene grazie lo stesso,tu lo
Prego,io lo
Perfetto vorrei comprarne due.,tu e io lo
Certo ecco a lei vuole un sacchetto,tu e io lo
Si grazie e arrivederci,tu a lo
Le auguro una buona giornata,un io lo
Buongiorno io sono Mario,un io lo
Buonasera io sono Mario,tu a lo
Piacere Luigi come stai,un io lo
Tutto bene tu,tu io
Salve quanto costa quell articolo,pero ora io certo
E in offerta costa dieci euro,tu a io io
Tutto bene grazie,un io lo
Prendiamo un caffe al bar,tu lo
"Certo volentieri, io lo prendero macchiato",certo ora io e lo
A che ora arriva il pullman,tu lo
Dovrebbe arrivare tra qualche minuto,tu lo
Quanto costa il biglietto,tu io
Purtroppo non lo so pero potresti chiedere all autista,certo io io e lo
Va bene grazie lo stesso,tu a io io
Prego,tu io
Perfetto vorrei comprarne due.,pero io io e lo
Certo ecco a lei vuole un sacchetto,tu a io
Si grazie e arrivederci,pero ora io certo
Le auguro una buona giornata,pero io io
Buongiorno io sono Mario,un lo
Buonasera io sono Mario,pero e io e lo
Piacere Luigi come stai,pero e io io
Tutto bene tu,tu lo
Salve quanto costa quell articolo,certo ora io certo
