Truth,Decoded
Quanto costa il biglietto,tutto bene
Purtroppo non lo so pero potresti chiedere all autista,pero ora lo ineao
Va bene grazie lo stesso,tu bene
Prego,tu bene
Perfetto vorrei comprarne due.,una lo lo
Certo ecco a lei vuole un sacchetto,tu a lo lo
Si grazie e arrivederci,tu e io lo
Le auguro una buona giornata,lo lo bnmao
Buongiorno io sono Mario,un lo bene
Buonasera io sono Mario,una sono
Piacere Luigi come stai,tutto lo sono
Tutto bene tu,tu lo
Salve quanto costa quell articolo,certo lo costa un io
E in offerta costa dieci euro,tu un a lo certo
Tutto bene grazie,un lo bene
Prendiamo un caffe al bar,lo bene
"Certo volentieri, io lo prendero macchiato",certo lo lo costa un minuto
A che ora arriva il pullman,tu lo lo
Dovrebbe arrivare tra qualche minuto,un bene
Quanto costa il biglietto,tu lo
Purtroppo non lo so pero potresti chiedere all autista,purtroppo lo lo lo e lo
Va bene grazie lo stesso,tu a lo lo
Prego,tutto
Perfetto vorrei comprarne due.,certo ora a io io
Certo ecco a lei vuole un sacchetto,lo lo
Si grazie e arrivederci,e e e costa un lo
Le auguro una buona giornata,e e lo lo e io
Buongiorno io sono Mario,tutto lo
Buonasera io sono Mario,e e e a e lo
Piacere Luigi come stai,e e lo costa e io
Tutto bene tu,tu bene
Salve quanto costa quell articolo,certo e costa ueiuto
