Truth,Decoded
Quanto costa il biglietto,tu a lo bene io
Purtroppo non lo so pero potresti chiedere all autista,certo io so bene io
Va bene grazie lo stesso,tu io bene
Prego,tu bene
Perfetto vorrei comprarne due.,euro a io io
Certo ecco a lei vuole un sacchetto,tu e a io
Si grazie e arrivederci,e e io lo
Le auguro una buona giornata,io io una
Buongiorno io sono Mario,tu io bene
Buonasera io sono Mario,una io sono
Piacere Luigi come stai,un io io sono
Tutto bene tu,tu bene
Salve quanto costa quell articolo,bene io costa e io
E in offerta costa dieci euro,lo e io lo so
Tutto bene grazie,io bene
Prendiamo un caffe al bar,tu bene
"Certo volentieri, io lo prendero macchiato",certo io costa due io
A che ora arriva il pullman,a io bene
Dovrebbe arrivare tra qualche minuto,un bene
Quanto costa il biglietto,tu lo
Purtroppo non lo so pero potresti chiedere all autista,purtroppo io lo io e io
Va bene grazie lo stesso,a e io io io
Prego,tutto
Perfetto vorrei comprarne due.,certo io ora io io
Certo ecco a lei vuole un sacchetto,lo e io lo
Si grazie e arrivederci,e e lei costa due io
Le auguro una buona giornata,e e io costa e io
Buongiorno io sono Mario,tutto lo
Buonasera io sono Mario,e e e costa io
Piacere Luigi come stai,e e lo costa pero
Tutto bene tu,tu bene
Salve quanto costa quell articolo,certo lei costa certo
