Truth,Decoded
Si grazie e arrivederci,bene io
Certo ecco a lei vuole un sacchetto,euro e lo io
Buongiorno io sono Mario,io io io mario
"Certo volentieri, io lo prendero macchiato",ruonono io io io e mario
Perfetto vorrei comprarne due.,e ora a lo
Tutto bene grazie,un e lo
Prego,certo
Buonasera io sono Mario,un io io
Va bene grazie lo stesso,bene io
Certo ecco a lei vuole un sacchetto,certo io
Quanto costa il biglietto,certo io
Tutto bene tu,tutto
Si grazie e arrivederci,pero lo
A che ora arriva il pullman,io io io
Buongiorno io sono Mario,ruoio io
Le auguro una buona giornata,eren e e un pero
