Truth,Decoded
Tutto bene grazie,tutto bene grazie
Buongiorno io sono Mario,buongiorno io sono mario
"Certo volentieri, io lo prendero macchiato",certo volentieri io lo prendero macchiato
Le auguro una buona giornata,le quanto costa una io lata
Dovrebbe arrivare tra qualche minuto,perfetndot a ariar lo io
Purtroppo non lo so pero potresti chiedere all autista,prtrti che costa
E in offerta costa dieci euro,e rfet io io
"Certo volentieri, io lo prendero macchiato",e e ctarli
Perfetto vorrei comprarne due.,si grento costa io
Tutto bene tu,tra io bene io
A che ora arriva il pullman,a che ora io pullman
Quanto costa il biglietto,quot io eiti
Prego,prego
Va bene grazie lo stesso,a gretotna io pero
Tutto bene grazie,qutrt io io bene un
Prendiamo un caffe al bar,preodrdiam un caffe lo bar
