Truth,Decoded
Va bene grazie lo stesso,va bene grazie lo stesso
Salve quanto costa quell articolo,salve quanto costa quell articolo
Certo ecco a lei vuole un sacchetto,certo ecco a lei vuole un sacchetto
Quanto costa il biglietto,un io io
"Certo volentieri, io lo prendero macchiato",e tra costadreliuo
Purtroppo non lo so pero potresti chiedere all autista,pero io e potepreiel costa
Dovrebbe arrivare tra qualche minuto,perfetto a cafeare due
Va bene grazie lo stesso,e greone e io ecco
E in offerta costa dieci euro,gfeit io
Prendiamo un caffe al bar,prendiamo un caffe lo bar
Piacere Luigi come stai,piacere lo io come stai
A che ora arriva il pullman,a che ora il pullman
Le auguro una buona giornata,le quanto costa una ilata
Buongiorno io sono Mario,beongo e io
Certo ecco a lei vuole un sacchetto,io e otiti io io
Buonasera io sono Mario,buonasera io sono mario
