Truth,Decoded
Prendiamo un caffe al bar,prendiamo un caffe al bar
Piacere Luigi come stai,piacere luigi come stai
Buonasera io sono Mario,buonasera io sono mario
"Certo volentieri, io lo prendero macchiato",certo volentieri io lo prendero macchiato
Prego,prego
Salve quanto costa quell articolo,salve quanto cosaule in lo
Certo ecco a lei vuole un sacchetto,certo ecco a lei vuole un sacchetto
Quanto costa il biglietto,quanto costa il biglietto
E in offerta costa dieci euro,e in offerta costa dieci euro
Tutto bene grazie,tutto bene grazie
A che ora arriva il pullman,a che ora arriva il pullman
Salve quanto costa quell articolo,le tutto una vuole io a
Certo ecco a lei vuole un sacchetto,certo ecco a le io vuole un sacchetto
Tutto bene tu,tutto bene tu
Purtroppo non lo so pero potresti chiedere all autista,purtroppo non lo so pero potresti chiedere al autista
Buonasera io sono Mario,bungiera io sono mario
