Truth,Decoded
Prendiamo un caffe al bar,prendiamo un caffe al bar
Perfetto vorrei comprarne due.,perfetto vorrei comprarne due
Tutto bene grazie,tutto bene grazie
Piacere Luigi come stai,piacere luigi come stai
Purtroppo non lo so pero potresti chiedere all autista,purtroppo non io so pero potresti chiedere al autista
Certo ecco a lei vuole un sacchetto,certo a lo io sono macchiato
"Certo volentieri, io lo prendero macchiato",certo volentieri io pero pero macchiato
Quanto costa il biglietto,quanto costa il biglietto
Buonasera io sono Mario,buonasera io sono mario
Salve quanto costa quell articolo,salve tutto una vuole un io
A che ora arriva il pullman,a che ora mario io pullman
Dovrebbe arrivare tra qualche minuto,dovrebbe agririavae lo snuteso
Prego,pero
E in offerta costa dieci euro,e in offerta costa dieci euro
Buongiorno io sono Mario,buongiorno io sono mario
Piacere Luigi come stai,piacere luigi come stai
