Truth,Decoded
Prendiamo un caffe al bar,buniao un caffe al bar
Perfetto vorrei comprarne due.,perfetto vorrei comprarne due
Tutto bene grazie,tutto bene io io
Piacere Luigi come stai,piacere lo io come stai
Purtroppo non lo so pero potresti chiedere all autista,purtroppo non io so pero potsi cdiede al autista
Certo ecco a lei vuole un sacchetto,io una lo io sono macchiato
"Certo volentieri, io lo prendero macchiato",pero volntero io lo pero macchiato
Quanto costa il biglietto,quanto costa il biglietto
Buonasera io sono Mario,buonasera io sono mario
Salve quanto costa quell articolo,le euro un vuole io io
A che ora arriva il pullman,a che orariv io pullman
Dovrebbe arrivare tra qualche minuto,va bene araireavael lo snuteso
Prego,prego
E in offerta costa dieci euro,e in offerta costa si pero
Buongiorno io sono Mario,buongiorno io sono mario
Piacere Luigi come stai,piacere luigi come stai
