Truth,Decoded
Va bene grazie lo stesso,va bene grazie lo stesso
Salve quanto costa quell articolo,salve quanto costa quell articolo
Certo ecco a lei vuole un sacchetto,certo ecco a lei vuole un sacchetto
Quanto costa il biglietto,autista e io
"Certo volentieri, io lo prendero macchiato",e offerta coradrero
Purtroppo non lo so pero potresti chiedere all autista,pero si cpoeiueir costa
Dovrebbe arrivare tra qualche minuto,perfetto a cuoeare io io
Va bene grazie lo stesso,si e io ecco
E in offerta costa dieci euro,gferit io
Prendiamo un caffe al bar,prendiamo un caffe al bar
Piacere Luigi come stai,pero un come stai
A che ora arriva il pullman,parfeo vorara io pullman
Le auguro una buona giornata,le quanto certo una io glata
Buongiorno io sono Mario,buona io
Certo ecco a lei vuole un sacchetto,si e tra io colio
Buonasera io sono Mario,buonasera io sono mario
