Truth,Decoded
Prendiamo un caffe al bar,prendiamo un caffe al bar
Perfetto vorrei comprarne due.,perfetto vorrei comprarne e
Tutto bene grazie,tutto bene io grazie
Piacere Luigi come stai,piacere lo come stai
Purtroppo non lo so pero potresti chiedere all autista,purtroppo non io so pero potresti chiedere al autista
Certo ecco a lei vuole un sacchetto,certo una lo io sono macchiato
"Certo volentieri, io lo prendero macchiato",certo volntero io lo prendero macchiato
Quanto costa il biglietto,quanto ora il biglietto
Buonasera io sono Mario,buonasera io sono mario
Salve quanto costa quell articolo,salve quanto un vuole e a
A che ora arriva il pullman,a che oarivio pullman
Dovrebbe arrivare tra qualche minuto,dovrebbe arrivare lo snuteo
Prego,prego
E in offerta costa dieci euro,e in offerta costa io euro
Buongiorno io sono Mario,buongiorno io sono mario
Piacere Luigi come stai,piacere luigi come stai
