Truth,Decoded
Prendiamo un caffe al bar,pbeniao un caffe al bar
Perfetto vorrei comprarne due.,perfetto vorrei comprarne due
Tutto bene grazie,tutto bene grazie
Piacere Luigi come stai,piacere louio io stai
Purtroppo non lo so pero potresti chiedere all autista,purtroppo io io so pero potresti chirede al autista
Certo ecco a lei vuole un sacchetto,io ora io sono sachieato
"Certo volentieri, io lo prendero macchiato",certo olntero io lo ceoeon macchiato
Quanto costa il biglietto,quanto ora il ilieto
Buonasera io sono Mario,buonasera io sono mario
Salve quanto costa quell articolo,salve quanto io le io
A che ora arriva il pullman,a che mario io pullman
Dovrebbe arrivare tra qualche minuto,dovrebbe rirevre due minuto
Prego,prego
E in offerta costa dieci euro,e in offerta costa pero
Buongiorno io sono Mario,bungsoro io sono mario
Piacere Luigi come stai,piacere come stai
