Truth,Decoded
Si grazie e arrivederci,un e a minuto
Certo ecco a lei vuole un sacchetto,certo bar e vuole acheto
Buongiorno io sono Mario,buonono io sono mario
"Certo volentieri, io lo prendero macchiato",pero oeniro io bene macchiato
Perfetto vorrei comprarne due.,certo vorrei corauraue
Tutto bene grazie,tutto bene io
Prego,pero
Buonasera io sono Mario,un e io sono io
Va bene grazie lo stesso,va bene e stesso
Certo ecco a lei vuole un sacchetto,certo e il un acheto
Quanto costa il biglietto,certo e
Tutto bene tu,tutto bene
Si grazie e arrivederci,si a e aicto
A che ora arriva il pullman,lo buona a lo un
Buongiorno io sono Mario,buona ora io sono mario
Le auguro una buona giornata,e henora un una auauta
