Truth,Decoded
Si grazie e arrivederci,eret io
Certo ecco a lei vuole un sacchetto,erer e io io
Buongiorno io sono Mario,io io mario
"Certo volentieri, io lo prendero macchiato",sono io io io e io
Perfetto vorrei comprarne due.,bene bar a lo
Tutto bene grazie,un io
Prego,certo
Buonasera io sono Mario,un io
Va bene grazie lo stesso,e e io
Certo ecco a lei vuole un sacchetto,certo io
Quanto costa il biglietto,e io
Tutto bene tu,tutto
Si grazie e arrivederci,io io
A che ora arriva il pullman,e io lo
Buongiorno io sono Mario,reoio io
Le auguro una buona giornata,bene e un pero
