Truth,Decoded
Si grazie e arrivederci,rifeie io ecco
Certo ecco a lei vuole un sacchetto,certo e a a il un sicheto
Buongiorno io sono Mario,bungono io sono mario
"Certo volentieri, io lo prendero macchiato",certo olntiei io lo pero macchiato
Perfetto vorrei comprarne due.,certo vorrei comprarne due
Tutto bene grazie,tutto bene grazie
Prego,pero
Buonasera io sono Mario,buonasera io sono mario
Va bene grazie lo stesso,va bene grazie lo stesso
Certo ecco a lei vuole un sacchetto,certo ecco a lei vuole un sacchetto
Quanto costa il biglietto,vbute birei
Tutto bene tu,tutto e tu
Si grazie e arrivederci,si grazie arierci
A che ora arriva il pullman,a che ora mario il pullman
Buongiorno io sono Mario,buniono io sono mario
Le auguro una buona giornata,le auguro una una auainata
