Truth,Decoded
Va bene grazie lo stesso,va bene grazie lo stesso
Salve quanto costa quell articolo,salve quanto costa quell articolo
Certo ecco a lei vuole un sacchetto,certo ecco a lei vuole un sacchetto
Quanto costa il biglietto,qutota io
"Certo volentieri, io lo prendero macchiato",peretrt costa due io
Purtroppo non lo so pero potresti chiedere all autista,prtopo e e come preiedr costa
Dovrebbe arrivare tra qualche minuto,peretntoto a aorare e e euro
Va bene grazie lo stesso,e bene io ecco
E in offerta costa dieci euro,e gfer costa io
Prendiamo un caffe al bar,prendiamo un caffe al bar
Piacere Luigi come stai,piacere un come stai
A che ora arriva il pullman,a che a a io pullman
Le auguro una buona giornata,a gqeato costa una io ilata
Buongiorno io sono Mario,pbeongon io
Certo ecco a lei vuole un sacchetto,e gfeo tra io come io
Buonasera io sono Mario,buonasera io sono mario
