Truth,Decoded
Si grazie e arrivederci,si gririeael euro
Salve quanto costa quell articolo,il gfatnart ctaqetiolo
Prego,prego
Dovrebbe arrivare tra qualche minuto,e rfetoe arrivare a qualche minuto
Purtroppo non lo so pero potresti chiedere all autista,prtoto e come io costa
Tutto bene tu,luigi bene e
Piacere Luigi come stai,piacere un come stai
Certo ecco a lei vuole un sacchetto,si e ora io io colai
A che ora arriva il pullman,a che ora io pullman
E in offerta costa dieci euro,e in offerta costa dieci euro
Salve quanto costa quell articolo,salve quanto stai quell articolo
Dovrebbe arrivare tra qualche minuto,dovrebbe arrivare tra qualche minuto
Tutto bene grazie,tutto bene grazie
Certo ecco a lei vuole un sacchetto,certo ecco a leivuole un sacchetto
Va bene grazie lo stesso,va bene grazie lo stesso
Buongiorno io sono Mario,buongiorno io sono mario
