Truth,Decoded
Prendiamo un caffe al bar,pbuniao un caffe al bar
Perfetto vorrei comprarne due.,perfetto vorrei comprarne e
Tutto bene grazie,tutto bene grazie
Piacere Luigi come stai,piacere luigi come stai
Purtroppo non lo so pero potresti chiedere all autista,purtroppo non io so pero potresti chiedere al autista
Certo ecco a lei vuole un sacchetto,io ora lei io sono sachieto
"Certo volentieri, io lo prendero macchiato",certo ontero io pero pero macchiato
Quanto costa il biglietto,quanto costa il biglietto
Buonasera io sono Mario,bunairo io sono mario
Salve quanto costa quell articolo,salve quanto io vuole io io
A che ora arriva il pullman,a che mario io pullman
Dovrebbe arrivare tra qualche minuto,vabube agrairavael snuteso
Prego,prego
E in offerta costa dieci euro,e in offerta costa si euro
Buongiorno io sono Mario,buongiorno io sono mario
Piacere Luigi come stai,piacere luigi come stai
