Truth,Decoded
Prendiamo un caffe al bar,prego un caffe al bar
Perfetto vorrei comprarne due.,perfetto vorrei comprarne due
Tutto bene grazie,tutto bene grazie
Piacere Luigi come stai,piacere lo come stai
Purtroppo non lo so pero potresti chiedere all autista,purtroppo non io so pero potresti chiedere al autista
Certo ecco a lei vuole un sacchetto,certo una lo io sono sachieato
"Certo volentieri, io lo prendero macchiato",certo olnter io lo pero macchiato
Quanto costa il biglietto,quanto ora il biglietto
Buonasera io sono Mario,buonasera io sono mario
Salve quanto costa quell articolo,salve quanto e vuole un a
A che ora arriva il pullman,a che orariv io pullman
Dovrebbe arrivare tra qualche minuto,dovrebbe arriva a lo minuto
Prego,prego
E in offerta costa dieci euro,e in ora costa si euro
Buongiorno io sono Mario,buongiorno io sono mario
Piacere Luigi come stai,piacere luigi come stai
