Truth,Decoded
Prendiamo un caffe al bar,prendiamo un a lo bar
Perfetto vorrei comprarne due.,perfetto vorrei comprarne due
Tutto bene grazie,tutto bene grazie
Piacere Luigi come stai,piacere loupgo come stai
Purtroppo non lo so pero potresti chiedere all autista,purtroponono so pero potstichiredeal autista
Certo ecco a lei vuole un sacchetto,certo ora io sono sachieato
"Certo volentieri, io lo prendero macchiato",certo volntero io lo pero macchiato
Quanto costa il biglietto,quanto costa il giglaeto
Buonasera io sono Mario,bungiro io sono mario
Salve quanto costa quell articolo,salve quanto io vuole e io
A che ora arriva il pullman,a che arriva io pullman
Dovrebbe arrivare tra qualche minuto,dovrebbe arireavre lo snuteo
Prego,prego
E in offerta costa dieci euro,e in offerta costa a pero
Buongiorno io sono Mario,buongiorno io sono mario
Piacere Luigi come stai,piacere luigi come stai
