Truth,Decoded
Si grazie e arrivederci,e e bene a io
Certo ecco a lei vuole un sacchetto,ecco bar e uoloacheto
Buongiorno io sono Mario,buongonr io sono mario
"Certo volentieri, io lo prendero macchiato",crtoneiri io bene macchiato
Perfetto vorrei comprarne due.,peretovoro coraureae
Tutto bene grazie,tutto bene grazie
Prego,pero
Buonasera io sono Mario,un e io sonomaio
Va bene grazie lo stesso,va bene io stesso
Certo ecco a lei vuole un sacchetto,certo e il io acheto
Quanto costa il biglietto,certo e
Tutto bene tu,tutto bene
Si grazie e arrivederci,si e aeicti
A che ora arriva il pullman,lo buona tra un
Buongiorno io sono Mario,buona io sono mario
Le auguro una buona giornata,le una un un auauta
