Truth,Decoded
Buonasera io sono Mario,buonasera io sono mario
"Certo volentieri, io lo prendero macchiato",certo volentieri lo prendero macchiato
Prego,prego
Perfetto vorrei comprarne due.,si grarta costa io
E in offerta costa dieci euro,a e costa dieci
Quanto costa il biglietto,quanto costa e io
Le auguro una buona giornata,le quanto voato costa io glata
Buongiorno io sono Mario,prego io
Buonasera io sono Mario,tu buonasera io sono mario
Va bene grazie lo stesso,a bene e euro
Tutto bene grazie,bene io io bene e
"Certo volentieri, io lo prendero macchiato",e rfert costadrel lo
Prendiamo un caffe al bar,pero drdiamo un caffe al bar
Si grazie e arrivederci,si rirtuo
Salve quanto costa quell articolo,a gfenr costa cetiolo
Prego,prego
