Truth,Decoded
"Certo volentieri, io lo prendero macchiato",pero due a e io io
Tutto bene tu,pero tu a e io un
Le auguro una buona giornata,bene bene a e e io
Salve quanto costa quell articolo,pero tu a e io io
Piacere Luigi come stai,pero tu e lo in
Perfetto vorrei comprarne due.,bene lo a e io e
"Certo volentieri, io lo prendero macchiato",setn e e io
E in offerta costa dieci euro,in un a e io io
A che ora arriva il pullman,pero io e lo in
Buongiorno io sono Mario,peace lo io e un
Purtroppo non lo so pero potresti chiedere all autista,plan tu e e e io
Dovrebbe arrivare tra qualche minuto,pero e e e io io
Tutto bene tu,setn tu e io un
Certo ecco a lei vuole un sacchetto,bene tu a e lei
Quanto costa il biglietto,setn tu a e e un
Tutto bene grazie,pero due a e un
