Truth,Decoded
"Certo volentieri, io lo prendero macchiato",pero onrero lo sono macchiato
Tutto bene tu,tutto non tu
Le auguro una buona giornata,le un io buona ulnata
Salve quanto costa quell articolo,salve quanto costa quell icolo
Piacere Luigi come stai,certo io che stai
Perfetto vorrei comprarne due.,perfetto vorrei un e
"Certo volentieri, io lo prendero macchiato",certo voltiri oplonpener mario
E in offerta costa dieci euro,e un io pero costa a minuto
A che ora arriva il pullman,a che e aravi pullman
Buongiorno io sono Mario,tunsirn io sono mario
Purtroppo non lo so pero potresti chiedere all autista,purtono sono so pero io certo autista
Dovrebbe arrivare tra qualche minuto,dortboberivar a uaho minuto
Tutto bene tu,tutto bene
Certo ecco a lei vuole un sacchetto,certo a un io un achto
Quanto costa il biglietto,tutto bene e
Tutto bene grazie,tutto bene grazie
