Truth,Decoded
Prendiamo un caffe al bar,pbeniao un caffe lo bar
Perfetto vorrei comprarne due.,certo vorrei comprarne due
Tutto bene grazie,tutto un grazie
Piacere Luigi come stai,piacere lo io come stai
Purtroppo non lo so pero potresti chiedere all autista,purtroponon io so pero potstichiredelal autista
Certo ecco a lei vuole un sacchetto,io onaea lo io io macchiato
"Certo volentieri, io lo prendero macchiato",certo volntero io lo pero macchiato
Quanto costa il biglietto,quanto ora il biglietto
Buonasera io sono Mario,buonasera io sono mario
Salve quanto costa quell articolo,salve quanto io vuole io
A che ora arriva il pullman,a che arriva io pullman
Dovrebbe arrivare tra qualche minuto,dovrebbe arireaval lo minuto
Prego,prego
E in offerta costa dieci euro,e in offerta ora pero
Buongiorno io sono Mario,buongiorno io sono mario
Piacere Luigi come stai,piacere come stai
