Truth,Decoded
Si grazie e arrivederci,e e e bene si io
Certo ecco a lei vuole un sacchetto,certo a e e io acheto
Buongiorno io sono Mario,buongiorno io sono mario
"Certo volentieri, io lo prendero macchiato",certo oeneiri io bene mario
Perfetto vorrei comprarne due.,certo vorrei ora e
Tutto bene grazie,tutto bene io
Prego,pero
Buonasera io sono Mario,buona e io sono mario
Va bene grazie lo stesso,va bene e stesso
Certo ecco a lei vuole un sacchetto,certo e un io acheto
Quanto costa il biglietto,vreato e e
Tutto bene tu,tutto un tu
Si grazie e arrivederci,si a e e icti
A che ora arriva il pullman,lo ora tra lo un
Buongiorno io sono Mario,buona io sono mario
Le auguro una buona giornata,e una un una auata
