Truth,Decoded
"Certo volentieri, io lo prendero macchiato",cereoero io lo non macchiato
Tutto bene tu,tutto un tu
Le auguro una buona giornata,le un io una lo
Salve quanto costa quell articolo,salve quanto stai certo
Piacere Luigi come stai,pero io lo
Perfetto vorrei comprarne due.,paereto vorrei io e
"Certo volentieri, io lo prendero macchiato",certo oriro iopre cermario
E in offerta costa dieci euro,le un lo tra costa tra minuto
A che ora arriva il pullman,le e e e io puomn
Buongiorno io sono Mario,tuoner io sono io
Purtroppo non lo so pero potresti chiedere all autista,prtono io io certo io e laute
Dovrebbe arrivare tra qualche minuto,drbuei un a uaiuto
Tutto bene tu,tutto e lo
Certo ecco a lei vuole un sacchetto,bene ararai un io
Quanto costa il biglietto,qutnbn e e
Tutto bene grazie,tutto un io
